ent_loss,entropy,loss
-2.3e-05,0.023,0.0184
-2.06e-05,0.0206,0.0105
-6.26e-05,0.0626,0.0497
-8.25e-07,0.000825,7.11e-05
-2.52e-05,0.0252,0.0227
-2.78e-05,0.0278,0.00982
-8.53e-07,0.000853,7.45e-05
-2.16e-06,0.00216,0.000219
-5.75e-05,0.0575,0.0698
-6.93e-07,0.000693,5.5e-05
-2.72e-06,0.00272,0.000271
-3.2e-05,0.032,0.0153
-9.67e-05,0.0967,0.0625
-7.25e-07,0.000725,6.33e-05
-3e-05,0.03,0.0131
-1.88e-06,0.00188,0.000158
-1.07e-06,0.00107,8.68e-05
-5.39e-05,0.0539,0.0488
-1.89e-05,0.0189,0.00873
-7.37e-05,0.0737,0.047
-4.61e-05,0.0461,0.0337
-1.18e-06,0.00118,0.000108
-5.67e-07,0.000567,4.4e-05
-1.17e-06,0.00117,0.000102
-4.3e-05,0.043,0.0337
-7.45e-05,0.0745,0.0228
-3.22e-06,0.00322,0.000326
-2.12e-05,0.0212,0.0106
-2.64e-05,0.0264,0.0187
-5.84e-05,0.0584,0.0663
-3.71e-05,0.0371,0.023
-4.59e-05,0.0459,0.0473
-3.21e-05,0.0321,0.0157
-6.53e-05,0.0653,0.086
-4.39e-05,0.0439,0.0347
-2.28e-05,0.0228,0.0253
-5.26e-07,0.000526,4.24e-05
-5.18e-07,0.000518,4.32e-05
-6.1e-07,0.00061,5.18e-05
-4.86e-05,0.0486,0.0228
-6.51e-05,0.0651,0.0543
-2.08e-05,0.0208,0.038
-2.08e-05,0.0208,0.0106
-6.85e-07,0.000685,5.92e-05
-1.09e-06,0.00109,9.4e-05
-1.43e-06,0.00143,0.000131
-8.23e-07,0.000823,6.89e-05
-9.51e-05,0.0951,0.09
-1.7e-05,0.017,0.00384
-2.27e-05,0.0227,0.0123
-2.57e-05,0.0257,0.0322
-6.61e-07,0.000661,5.2e-05
-1.09e-06,0.00109,9.32e-05
-1.39e-06,0.00139,0.000124
-2.34e-05,0.0234,0.0155
-7.68e-07,0.000768,6.03e-05
-2.08e-06,0.00208,0.000203
-1.14e-06,0.00114,0.0001
-9.53e-07,0.000953,9.02e-05
-1.09e-06,0.00109,9.08e-05
-8.63e-07,0.000863,7.73e-05
-7.24e-07,0.000724,5.97e-05
-6.01e-07,0.000601,4.92e-05
-0.000106,0.106,0.122
-4.28e-05,0.0428,0.0685
-1.23e-06,0.00123,0.000106
-4.65e-05,0.0465,0.0417
-2.34e-05,0.0234,0.0269
-7.84e-06,0.00784,0.00162
-3.16e-05,0.0316,0.0068
-2.39e-06,0.00239,0.000251
-7.48e-07,0.000748,6.39e-05
-4.67e-05,0.0467,0.0379
-2.19e-05,0.0219,0.0113
-1.31e-06,0.00131,0.000151
-4.89e-05,0.0489,0.0863
-3e-05,0.03,0.044
-2.38e-05,0.0238,0.0238
-5.36e-05,0.0536,0.0355
-2.36e-05,0.0236,0.0282
-3.82e-05,0.0382,0.026
-1.09e-06,0.00109,8.83e-05
-3.93e-05,0.0393,0.0456
-7.17e-07,0.000717,6.04e-05
-5.19e-07,0.000519,4.1e-05
-4.11e-07,0.000411,3.15e-05
-6.54e-05,0.0654,0.0718
-2.66e-05,0.0266,0.0192
-7.21e-07,0.000721,5.75e-05
-2.11e-05,0.0211,0.00379
-2.74e-05,0.0274,0.0122
-2.36e-05,0.0236,0.0136
-9.35e-07,0.000935,8.07e-05
-1.92e-06,0.00192,0.00017
-8.01e-07,0.000801,6.58e-05
-1.73e-06,0.00173,0.000157
-6.8e-05,0.068,0.0551
-1.1e-06,0.0011,0.000102
-3.1e-07,0.00031,2.42e-05
-3.36e-05,0.0336,0.0182
-1.01e-06,0.00101,8.28e-05
-3.48e-05,0.0348,0.0207
-1.71e-06,0.00171,0.00015
-6.4e-07,0.00064,5.18e-05
-1.89e-05,0.0189,0.00847
-1.02e-06,0.00102,8.71e-05
-4.44e-07,0.000444,3.54e-05
-6.99e-05,0.0699,0.0579
-3.17e-05,0.0317,0.0156
-1.72e-05,0.0172,0.0065
-4.94e-07,0.000494,3.9e-05
-2.35e-05,0.0235,0.0183
-9.31e-07,0.000931,7.99e-05
-3.57e-05,0.0357,0.02
-9.29e-06,0.00929,0.00115
-2.44e-05,0.0244,0.0282
-1.38e-06,0.00138,0.000119
-6e-07,0.0006,4.69e-05
-4.25e-07,0.000425,3.34e-05
-2.26e-05,0.0226,0.0157
-2.92e-05,0.0292,0.0489
-2.78e-07,0.000278,2.13e-05
-5.92e-07,0.000592,5.01e-05
-8.03e-07,0.000803,6.8e-05
-9.25e-05,0.0925,0.0984
-8.32e-07,0.000832,6.78e-05
-2.13e-07,0.000213,1.52e-05
-5.47e-07,0.000547,4.2e-05
-2.32e-05,0.0232,0.0256
-2.93e-05,0.0293,0.0119
-9.28e-07,0.000928,7.62e-05
-6.69e-07,0.000669,5.23e-05
-1.62e-06,0.00162,0.000142
-1.4e-06,0.0014,0.000153
-6.73e-07,0.000673,5.49e-05
-3.67e-05,0.0367,0.0213
-3.48e-05,0.0348,0.0118
-1.01e-06,0.00101,9.58e-05
-3.63e-06,0.00363,0.000433
-7.88e-05,0.0788,0.0714
-7.9e-07,0.00079,6.44e-05
-3.17e-05,0.0317,0.0162
-2.52e-05,0.0252,0.0213
-6.95e-07,0.000695,5.83e-05
-2.15e-05,0.0215,0.014
-7.99e-05,0.0799,0.0529
-4.57e-05,0.0457,0.0359
-2.4e-05,0.024,0.0217
-7.53e-07,0.000753,6.6e-05
-1.14e-06,0.00114,0.000105
-3.5e-07,0.00035,2.64e-05
-6.73e-07,0.000673,5.65e-05
-1.23e-06,0.00123,0.00011
-1.31e-06,0.00131,0.000135
-2.44e-05,0.0244,0.0207
-7.38e-07,0.000738,5.89e-05
-7.31e-07,0.000731,5.94e-05
-6.75e-07,0.000675,5.34e-05
-8.73e-05,0.0873,0.0384
-6.06e-05,0.0606,0.0492
-1.83e-06,0.00183,0.000192
-1.28e-06,0.00128,0.000116
-7.78e-07,0.000778,6.62e-05
-2.41e-05,0.0241,0.0224
-5.45e-07,0.000545,4.88e-05
-1.12e-06,0.00112,9.56e-05
-6.96e-07,0.000696,6.49e-05
-4.34e-05,0.0434,0.0666
-6.66e-07,0.000666,5.3e-05
-2.35e-05,0.0235,0.0181
-8.64e-07,0.000864,7.26e-05
-3.39e-05,0.0339,0.0155
-4.6e-05,0.046,0.0346
-3.64e-05,0.0364,0.0374
-5.16e-07,0.000516,4.4e-05
-3.31e-07,0.000331,2.74e-05
-8.16e-07,0.000816,6.64e-05
-5.27e-05,0.0527,0.0393
-8.5e-07,0.00085,7.53e-05
-1.36e-06,0.00136,0.000135
-4.56e-05,0.0456,0.0524
-2.02e-06,0.00202,0.000188
-3.92e-05,0.0392,0.0324
-1.98e-05,0.0198,0.0105
-5.64e-05,0.0564,0.0698
-6.82e-05,0.0682,0.0679
-1.81e-05,0.0181,0.00805
-6.57e-07,0.000657,5.52e-05
-2.19e-05,0.0219,0.0138
-3.61e-05,0.0361,0.0422
-4.27e-07,0.000427,3.37e-05
-5.58e-07,0.000558,4.25e-05
-3.42e-05,0.0342,0.0434
-4.68e-05,0.0468,0.052
-2.28e-05,0.0228,0.0151
-1.08e-06,0.00108,9.83e-05
-4.69e-05,0.0469,0.053
-3.78e-05,0.0378,0.04
-4.88e-05,0.0488,0.0291
-9.65e-05,0.0965,0.0885
-2.46e-05,0.0246,0.0233
-6.48e-07,0.000648,5.56e-05
-3.95e-05,0.0395,0.0356
-1.08e-06,0.00108,9.05e-05
-5.09e-07,0.000509,3.88e-05
-2.21e-05,0.0221,0.0178
-5.66e-07,0.000566,4.44e-05
-5.16e-07,0.000516,4.29e-05
-3.9e-05,0.039,0.0204
-3.65e-05,0.0365,0.0395
-4.63e-05,0.0463,0.044
-2.29e-05,0.0229,0.0231
-1.87e-05,0.0187,0.00909
-7.14e-07,0.000714,6.1e-05
-5.43e-05,0.0543,0.0293
